spotify_id,song,artist
2ipjpypVVHeY8WivVNHHhv,Room 112 (Intro),112
6JUTn2qBWaQFylVZgwp2mH,Now That We're Done,112
7CBtCcTd3Zs6GS1RGKhOva,Sexy You (Interlude),112
2IXdR31TMRM0aCmuQtV8WH,Hey Yo,311
2dLAN4OozcSRpuNtVXJtnz,Hey You,311
51UtgWS4z1eMPuLQOzPtNH,Amber,311
6Fe3Flc9SjE03pqwD6PVQl,Amber,311
0KZ0qu6kEhVruGG0eXOK9v,Uncalm,311
4VSyH8AkIt3kaR5xIPFVVi,Where My Girls At,702
0rWjhsQWZlvA2I4KMRIQlh,Gotta Leave,702
5OQO6NEs89flntUWPtXUiG,Steelo,702
4eDCsyIHTSu3cQZ5wDIyP7,Get It Together,702
4JqQWAr47pGEoaMArpA7Z3,Word Crimes,"""Weird Al"" Yankovic"
6UtYhM8FwONx3G4C413WIp,Inactive,"""Weird Al"" Yankovic"
2Y9YdGPN7AtVfpTvXfRbc6,"TMZ (Parody of ""You Belong With Me"" by Taylor Swift)","""Weird Al"" Yankovic"
1drv4FMcCNrhBCL6S0vxjz,Craigslist,"""Weird Al"" Yankovic"
4kRcTEWYGAS4eYdIgMawjG,Ringtone,"""Weird Al"" Yankovic"
0dgoXwibX8inebNrM85muT,Yoda,"""Weird Al"" Yankovic"
4yhVY2BRl4KyCUJF3axg1V,Lasagna,"""Weird Al"" Yankovic"
6HdPLKXFecMzdQo1PQ1ls9,Bedrock Anthem,"""Weird Al"" Yankovic"
6LlUAzeDR4D5y0YsCkAlFO,"Gump (Parody of ""Lump"" by The Presidents of the United States)","""Weird Al"" Yankovic"
4PZvyMc32DVXmvk75qPVHN,"The Saga Begins (Lyrical Adaption of ""American Pie"")","""Weird Al"" Yankovic"
1m6LYAWyCdRjpIr3ttANsr,Hardware Store,"""Weird Al"" Yankovic"
6gdf0urHTdAPJx1sr1joRJ,Virus Alert,"""Weird Al"" Yankovic"
2Q26sym8OSOl6PfH7LLPtJ,Hardware Store,"""Weird Al"" Yankovic"
74sUbOF9Zm8LdGUJjxleTl,"The Saga Begins (Lyrical Adaption of ""American Pie"")","""Weird Al"" Yankovic"
5ugw6qWHBB7Jlkj4SFygDU,My Baby's In Love With Eddie Vedder,"""Weird Al"" Yankovic"
0ccvyyubmWHENz2gTbZjYV,Truck Drivin' Song,"""Weird Al"" Yankovic"
3PVfuCu2tfkDbtlCIL5R3m,"Gump (Parody of ""Lump"" by The Presidents of the United States)","""Weird Al"" Yankovic"
2BjYUxiUeM5rGi2q1unczB,Bedrock Anthem,"""Weird Al"" Yankovic"
6ndFFznccOQYr9kSvbtsgf,Lasagna,"""Weird Al"" Yankovic"
0muyqlnerINIqPQ3rTMAaI,WAR TIME ALL THE TIME,$uicideBoy$
