spotify_id,song,artist
3RnRhtUVlGvo1fZ4ZWOJd0,Days of '88,311
20SfPTqEhiHzT0SbMmJxqM,One and the Same,311
6LIBV2Q1NOfUBrAu7vp2qz,Firewater (Slo-Mo),311
12vRG6UWoFM2yXCcHInRp2,Firewater - 311 Sessions (Normal Speed),311
03yj7neapVahWtDk71yiCo,Made in the Shade,311
6jVJHmucTirmwVJdwg71OP,And A Ways To Go,311
7JFW6SQ2bl8jcnTOe9bisZ,It's Getting OK Now,311
7LG5qAX1r73gafhxvzu28K,Come Original,311
7065M7GFGUGrfIs9fKICAM,Sick Tight,311
4HcgoL4KNExj5LgmmFCj0D,Come Original,311
5yAaNbboVSwDCHThogIbxP,Life's Not A Race,311
0kD1j1yVuagqofnTB8vs6t,Omaha Stylee,311
5zfg3qZOcjS4IFhazNk9PW,Yadnus,!!! (Chk Chk Chk)
6qtiyGOzgHIfIX4wJmit2g,Mission Statement,"""Weird Al"" Yankovic"
4bnqosidHvNAGENKTFm5Vm,Fat,"""Weird Al"" Yankovic"
1vaico2C72imYowF4Kv04V,"Ebay (Parody of ""I Want It That Way"" by the Backstreet Boys)","""Weird Al"" Yankovic"
7An9RjFCMkUTH1Wa89HgPO,Angry White Boy Polka,"""Weird Al"" Yankovic"
4vHb50VkxDzHYwLiHfWczK,"Ebay (Parody of ""I Want It That Way"" by the Backstreet Boys)","""Weird Al"" Yankovic"
4is3oF4FlWmedh3TK6Ke7z,Fat,"""Weird Al"" Yankovic"
53AiGAa0Qi2VbX7eUpur1U,Nicotine Patches,$uicideBoy$
2Perdw5NdmyHJuSOzXYUTp,All Your Lies,10 Years
5f1KuXwiirC3a6kyiSsaLU,Anonymous Alcoholic,10cc
5nofJzaSC9F4qesdhpDfNx,Old Mister Time,10cc
5ZNdYapEkltW6Kk2YwfbHb,Baron Samedi,10cc
1GLuWfxqexCOsGAmHO8Yhn,Tomorrow Comes Today,12 Stones
7Cff9bKoYbf7ycDKnWtj1P,Once In A Lifetime - Bonus Track,12 Stones
3BizfLhenI6161XPdsBZxa,Flashing Room,2AM Club
34Ga20vIH4vN9neqWG8Tok,COME BACK HOME,2NE1
2EW9rQg1vCxeRMVpNhl4YO,COME BACK HOME - UNPLUGGED VER.,2NE1
0Z2J91b2iTGLVTZC4fKgxf,Hit 'Em Up - Single Version,2Pac
2fkbKErieGDPE2j0rbh3VC,Fell From The Moon,3 Doors Down
3VRdpWkJURNcU4Z2oIfdaR,The Real Life,3 Doors Down
17bneAlUnQYLn9MA2mnTv1,Running Out Of Days,3 Doors Down
2iH8pLgd3Pqjq4Dzj4juMP,You Keep Runnin' Away,38 Special
3hob3wmHG93m4iai96JFfI,Take 'Em Out,38 Special
1PCbijI9DfTjdVgCR9LtHe,Not This Time,3LW
18eGfsSjnEFAq4wim0kOCL,Money,5 Seconds Of Summer
7nFlzPTW9WGNJ2y9t3Tfvw,High All The Time,50 Cent
4m5Cd9kAbIxg6t9sMrQWtk,TIC TOC (feat. Lil Baby),6ix9ine
6Gy7rXB6Ku5vIWC7WGWsl3,KIKA (feat. Tory Lanez),6ix9ine
1wb7Mqon4o1ViLjaLV9f8U,Loaded Gun,6LACK
4AtZRwSR8BOTTQg5ihSggt,PRBLMS,6LACK
4r8BzCnB6mDdPcJuSmSovv,Alone / EA6,6LACK
3mUk1wiSBpiuK4oSSyDmTQ,Uptown / Bustdown (feat. PnB Rock and Lil Durk),A Boogie Wit da Hoodie
7l9RCa1VeqMzHxDpenZTVw,How to Rape a Country,A Change Of Pace
48vkclgG3Fmbvrln1RqtDh,Reassemble,A Day To Remember
6ZjvObA6zPCLnKvI0XYdcf,"Sometimes You're the Hammer, Sometimes You're the Nail",A Day To Remember
3imITUqEhkebNbOoS1yrWm,All I Want,A Day To Remember
4hjADSjvdIIW3xchE5h1eS,Holdin' It Down for the Underground,A Day To Remember
2SkJKMfjpYsNv0KWOxiegX,Kaleidoscope,A Great Big World
1O9DWF3578RHMxZg2nLPeM,Disillusioned,A Perfect Circle
4UvulgTFTqbyzSeJI2vfYq,Da Booty,A Tribe Called Quest
2N3U8uTYhjX2KwGT0pf5x0,Everyday,A$AP Rocky
57pOLYHz6mt5aMkOXa2Gis,Ghetto Symphony,A$AP Rocky
3Yh6iD5jXHWo2a6vO76Y3r,Castle Hell,A$AP Twelvyy
2XWbzFqCkFQywlMAM1xxUz,When It Comes To You,Aaron Carter
0GCRf0kCJpiWO806gnXkAc,Bounce,Aaron Carter
0RZcHTeLsymGyBd3hDarCm,You Can't Hide Beautiful,Aaron Lines
3YI9nigyhflhWEqKz6YsFs,The Grand Tour,Aaron Neville
2Ip67GaFqc1ESkXcpPff4y,Matchless,Aaron Shust
13RlgA14bJnFemxEYW2wZ1,Wildfire,Aaron Watson
4CtAHqtfgkHK56CYOkitil,Wake Up And Smell The Coffee,Aaron Watson
4qzlufbzRNF9oHcN9nDxED,Take A Chance On Me,ABBA
5yXkyfoppj8VDeAerLy4o1,The Winner Takes It All,ABBA
2HeTmGTjl870ucJ8mF7zl5,The Winner Takes It All,ABBA
6vQN2a9QSgWcm74KEZYfDL,Take A Chance On Me,ABBA
4CGoNahcgmwPdesr6f5Tng,The Name Of The Game,ABBA
5s4kNJAMnI9aCbvp1ilWc1,Showin' Love,AB-Soul
1V6kRlJnTC4W319N0BvJag,If You Want Blood (You've Got It),AC/DC
1B7YWCnmn6bWii1Pyy8cfK,Come and Get It,AC/DC
5u5F7qLDvZjBSktaDp4HxB,Moneytalks,AC/DC
6MZc25P5QQDCYwUpYZ4gBA,Kissin' Dynamite,AC/DC
124CQLjNlenz6CTKVCV931,Spellbound,AC/DC
7zscdQe9CjzXnqT3P1Ey7K,If You Want Blood (You've Got It),AC/DC
1qUXdzPCDKrEtyRcA6X5wb,Wifey Material,Ace Hood
6l7mnrTeO2UQ8cqZjaJne8,Galactic Love,Action Bronson
6Z1yspGrZohZd6zdNcpnkx,Huck Fosier,Adam Calhoun
6jL1DEdjmOa27inIgU088B,Take It All,Adele
1OGMyqd5PKvCS45J5AyunP,Freaking Out,Adema
5ord4aCBus1rt23Oi5R8nI,Come Undone,Adrenaline Mob
39JaJzolv4u2kOOV3s6cXJ,Men in Helicopters,Adrian Belew
0Kpc3tRv7oC1pVPQV1ikiu,Angel,Aerosmith
1CShgAvkBtZUy8YO1cNIuC,Cryin',Aerosmith
1Mh8b3ZWqkbO46SiN9cpIj,Angel,Aerosmith
6DrxbTWxIr2lATrvikvaTp,Cryin',Aerosmith
1THbqI41NsSe5ntfoyMCvH,Angel,Aerosmith
261YEv3io53fZXTy44eAfo,Cryin',Aerosmith
