spotify_id,song,artist
0ahRDzkKq0KEi7FRoHb0qk,U Already Know,112
1xqtdIypfCRpo45vYH5Uu8,Why Can't We Get Along,112
7rVMvsuJUTX4lopckjzcuU,We Do It Like This,311
2ojHq51ujgvNrm1HNVpYHG,Revelation of the Year,311
4lerRZGMqsCHr66RGo1Ytk,My Heart Sings,311
30yDjfSKruHpjLISybYbdh,Whiskey And Wine,311
5hd0Wm1LuAvo3msLCvqvA6,Down,311
490Ondk1vbkXznOpqRlZOz,Homebrew,311
4Uq5TL72LsfsbThygdCHyT,Homebrew,311
4sfTaffr4GE0gnrSUgL2qJ,Get Down Like Dat,702
4zrFUqfb57yiRbVGUCeM6H,My Own Eyes,"""Weird Al"" Yankovic"
0rUzGdhaASjsFbEmOcSC6k,"Whatever You Like (Parody of ""Whatever You Like"" by T.I.)","""Weird Al"" Yankovic"
3XhyafaTVD6ViaRFIL4bNo,Like a Surgeon,"""Weird Al"" Yankovic"
5Q1qSEtljHQzUygQTt0Ykw,Smells Like Nirvana,"""Weird Al"" Yankovic"
4BonPv8hXe251iVGm1htRy,You Make Me,"""Weird Al"" Yankovic"
1ZKueMWFwl6qPxczBLqJII,122 Days,$uicideBoy$
3uFIs3qxfZEySGZpZQFUQJ,This Fire,(hed) p.e.
6vx3GVWSccuS3OY4ot35Gy,Takeover,(hed) p.e.
2RC6IFTCLhANuD3zahp17w,Bloodfire,(hed) p.e.
4h5yKD43i8XF9R5ddwKZuK,The Rest Will Follow,...And You Will Know Us By The Trail Of Dead
31NAoo4cDKVNA10ivHJDnh,Selling Skeletons,10 Years
0k6LfLD7vowO9ZE38LfPl3,Picture Perfect (In Your Eyes),10 Years
5fEyUL1sp1cJC4YErd29I4,"So Long, Good-bye",10 Years
1LOZMYF5s8qhW7Rv4w2gun,Dreadlock Holiday,10cc
5RcpwmuUpxmfcxe718bax7,Wall Street Shuffle - Live,10cc
5H2Fwhfflx1DPUCZ1w6QyZ,Marriage Bureau Rendezvous - Live,10cc
6S6pgBW14tcCQKYNq2Zz53,Marriage Bureau Rendezvous,10cc
13giVEE9sKt8WMyc9TZnYp,Don't Squeeze Me Like Toothpaste,10cc
0kVB6PeqBbN2HhwJdWumeZ,The Wall Street Shuffle,10cc
4oAndo2YakCCAtIiTbKch6,Adrenaline,12 Stones
33X0vreSFwHqKMmaSYYBeo,Bitter,12 Stones
